algo,cluster_id,lat,long,n_points
kmean,0.0,45.716640659658346,4.8743599658344285,761
kmean,1.0,45.76121468654254,4.859611931180768,4244
kmean,2.0,45.77208786848398,4.8311883483978955,12619
kmean,3.0,45.83729589025545,4.826366361021758,15855
kmean,4.0,45.73010963232877,4.95229751926941,5475
kmean,5.0,45.73156362369552,4.819358060620012,6516
kmean,6.0,45.762166877195696,4.821843752147334,12921
kmean,7.0,45.70120205346821,4.76697323699422,692
kmean,8.0,45.80525338379814,4.956417007968128,753
kmean,9.0,45.78158017021276,4.874090664255319,4701
kmean,10.0,45.73193311630322,4.734904671858774,963
kmean,11.0,45.75913736623046,4.840382389858234,5480
kmean,12.0,45.77606839140639,4.855527965697779,5540
kmean,13.0,45.76265968983957,4.781203842245989,374
kmean,14.0,45.81232843851133,4.7684303980582525,618
kmean,15.0,45.76891689924812,4.983397642105263,1330
kmean,16.0,45.81416135551948,4.897898642857143,616
kmean,17.0,45.68129433944954,4.866709785058978,763
kmean,18.0,45.75855943408959,4.8332750454399385,15556
kmean,19.0,45.774869745973646,4.807825522327965,2732
kmean,20.0,45.764174742574255,4.924433014470678,1313
kmean,21.0,45.79860091140854,4.837875007010835,1570
kmean,22.0,45.767075194668415,4.834928790062487,19827
kmean,23.0,45.75197682007576,4.881556979166667,1056
kmean,24.0,45.72065460787671,4.921059275684931,584
kmean,25.0,45.750177280395384,4.838479831301482,3033
kmean,26.0,45.764075905319764,4.850229471864798,5206
kmean,27.0,45.84785323391813,4.852662530701754,684
kmean,28.0,45.76810758977091,4.87834089877464,1877
kmean,29.0,45.74100146721763,4.870410645179064,1815
kmean,30.0,45.78458759292035,4.732835398230089,226
kmean,31.0,45.72482068942937,4.831007787652011,2138
kmean,32.0,45.74989032271387,4.853136453687315,1693
kmean,33.0,45.78445468839312,4.855142229075532,6892
kmean,34.0,45.75110897121487,4.8260449977334545,4415
kmean,35.0,45.75950311328125,4.8094822942708335,1536
