cluster_id,convex_hull
26.0,"[[45.847094, 4.85328], [45.847333, 4.850833], [45.85495, 4.848755], [45.853175, 4.851438], [45.847666, 4.8535], [45.847166, 4.8535]]"
27.0,"[[45.733931, 4.840486], [45.729444, 4.845], [45.729722, 4.839166], [45.730085, 4.838848], [45.731441, 4.837722], [45.733055, 4.838611]]"
28.0,"[[45.720534, 4.894483], [45.719877, 4.895653], [45.718422, 4.896194], [45.717736, 4.896038], [45.716248, 4.894924], [45.717888, 4.894294]]"
29.0,"[[45.792115, 4.835389], [45.795988, 4.83115], [45.797027, 4.831194], [45.798171, 4.831851], [45.799609, 4.83289], [45.7987, 4.834166], [45.798497, 4.834336], [45.796927, 4.835591], [45.792336, 4.835441]]"
30.0,"[[45.765758, 4.834466], [45.765782, 4.833416], [45.765803, 4.833198], [45.765861, 4.83275], [45.765866, 4.832738], [45.765976, 4.832677], [45.766563, 4.832405], [45.766684, 4.832514], [45.766801, 4.832653], [45.766858, 4.832751], [45.766955, 4.833055], [45.767111, 4.833576], [45.767145, 4.833737], [45.767091, 4.833875], [45.766752, 4.834424], [45.766667, 4.8345], [45.766115, 4.834799], [45.765833, 4.834722]]"
31.0,"[[45.70259, 4.867619], [45.698263, 4.873585], [45.692766, 4.872072], [45.687811, 4.866436], [45.688243, 4.865119], [45.697191, 4.861224], [45.701698, 4.865334], [45.702373, 4.866589]]"
32.0,"[[45.699027, 4.821405], [45.704757, 4.817703], [45.709255, 4.827547], [45.700934, 4.82598]]"
33.0,"[[45.764495, 4.849519], [45.76468, 4.847801], [45.76572, 4.84741], [45.767268, 4.847631], [45.768248, 4.848006], [45.76732, 4.850325], [45.766869, 4.851172], [45.766527, 4.851688], [45.765775, 4.851608], [45.765002, 4.850538], [45.764521, 4.849798]]"
34.0,"[[45.787502, 4.857471], [45.785814, 4.85917], [45.784958, 4.858919], [45.783342, 4.85822], [45.783376, 4.857077], [45.783761, 4.856085], [45.783978, 4.855881], [45.784833, 4.855644], [45.784919, 4.855633], [45.785167, 4.855624], [45.785308, 4.8557]]"
35.0,"[[45.775167, 4.854833], [45.775136, 4.854497], [45.775246, 4.853854], [45.777416, 4.853918], [45.777595, 4.853954], [45.778097, 4.85439], [45.778508, 4.855084], [45.777779, 4.855527], [45.777356, 4.855763], [45.777211, 4.855833], [45.776637, 4.856042], [45.776488, 4.855924]]"
36.0,"[[45.779166, 4.729444], [45.785317, 4.727854], [45.78608, 4.728412], [45.787936, 4.730652], [45.788288, 4.731216], [45.789166, 4.733611], [45.787777, 4.734166], [45.786944, 4.734444]]"
37.0,"[[45.812, 4.9545], [45.812963, 4.956979], [45.81211, 4.958674], [45.803741, 4.964318], [45.803375, 4.964243], [45.801188, 4.962758], [45.80229, 4.959747], [45.802787, 4.959294]]"
38.0,"[[45.724769, 4.832891], [45.724636, 4.833984], [45.724292, 4.834123], [45.724167, 4.834167], [45.723873, 4.834145], [45.72227, 4.832761], [45.720982, 4.831366], [45.720817, 4.831173], [45.721636, 4.830054], [45.722585, 4.830186], [45.724444, 4.831111], [45.724715, 4.831646]]"
39.0,"[[45.832578, 4.880375], [45.830286, 4.881663], [45.83072, 4.878669], [45.831811, 4.878036]]"
